Time,Velocity,Acceleration,Apogee,Predicted DP
4.025000000000000244e-01,5.630611665273905686e+01,1.476409999228323500e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.050000000000000266e-01,5.667532005579148802e+01,1.477190965266978253e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.075000000000000289e-01,5.704471871823027840e+01,1.477971878720797463e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.099999999999999756e-01,5.741431262687106596e+01,1.478752738836367371e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.124999999999999778e-01,5.778410427925789605e+01,1.479553633204113510e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.149999999999999800e-01,5.815409617396075959e+01,1.480354480038376721e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.174999999999999822e-01,5.852428829905637286e+01,1.481155278560652278e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999845e-01,5.889468064242617373e+01,1.481956027984847708e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.224999999999999867e-01,5.926526827211351645e+01,1.482717368606777768e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.249999999999999889e-01,5.963604625378088286e+01,1.483478645391972464e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.274999999999999911e-01,6.000701457142799455e+01,1.484239857561191798e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.299999999999999933e-01,6.037817320885881855e+01,1.485001004326506973e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.324999999999999956e-01,6.074952232911538630e+01,1.485763520502857489e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.349999999999999978e-01,6.112106209518486821e+01,1.486525970550809177e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000000e-01,6.149279249049212837e+01,1.487288353670471395e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000022e-01,6.186471349826098276e+01,1.488050669050329873e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.425000000000000044e-01,6.223682433902161648e+01,1.488806815727257629e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.450000000000000067e-01,6.260912423281276062e+01,1.489562891295959446e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.475000000000000089e-01,6.298161316181167280e+01,1.490318894931599516e+02,0.000000000000000000e+00,0.000000000000000000e+00
